date,wth_stn,count
2013-05-03,CP,421
2013-05-03,FT,79
2013-05-03,LG,186
2013-05-04,CP,386
2013-05-04,FT,58
2013-05-04,LG,136
2013-05-05,CP,310
2013-05-05,FT,60
2013-05-05,LG,145
2013-05-06,CP,353
2013-05-06,FT,66
2013-05-06,LG,142
2013-05-07,CP,383
2013-05-07,FT,59
2013-05-07,LG,150
2013-05-08,CP,405
2013-05-08,FT,57
2013-05-08,LG,158
2013-05-09,CP,390
2013-05-09,FT,61
2013-05-09,LG,151
2013-05-10,CP,434
2013-05-10,FT,72
2013-05-10,LG,192
2013-05-11,CP,323
2013-05-11,FT,37
2013-05-11,LG,163
2013-05-12,CP,307
2013-05-12,FT,71
2013-05-12,LG,149
2013-05-13,CP,368
2013-05-13,FT,53
2013-05-13,LG,156
2013-05-14,CP,357
2013-05-14,FT,59
2013-05-14,LG,149
2013-05-15,CP,320
2013-05-15,FT,63
2013-05-15,LG,149
2013-05-16,CP,324
2013-05-16,FT,61
2013-05-16,LG,174
2013-05-17,CP,449
2013-05-17,FT,76
2013-05-17,LG,216
2013-05-18,CP,296
2013-05-18,FT,53
2013-05-18,LG,157
2013-05-19,CP,332
2013-05-19,FT,52
2013-05-19,LG,160
2013-05-20,CP,419
2013-05-20,FT,66
2013-05-20,LG,172
2013-05-21,CP,434
2013-05-21,FT,90
2013-05-21,LG,173
2013-05-22,CP,376
2013-05-22,FT,50
2013-05-22,LG,144
2013-05-23,CP,458
2013-05-23,FT,75
2013-05-23,LG,202
2013-05-24,CP,436
2013-05-24,FT,68
2013-05-24,LG,164
2013-05-25,CP,285
2013-05-25,FT,69
2013-05-25,LG,160
2013-05-26,CP,268
2013-05-26,FT,53
2013-05-26,LG,134
2013-05-27,CP,250
2013-05-27,FT,45
2013-05-27,LG,125
2013-05-28,CP,398
2013-05-28,FT,82
2013-05-28,LG,206
2013-05-29,CP,365
2013-05-29,FT,58
2013-05-29,LG,151
2013-05-30,CP,441
2013-05-30,FT,61
2013-05-30,LG,183
2013-05-31,CP,466
2013-05-31,FT,76
2013-05-31,LG,194
2013-06-01,CP,380
2013-06-01,FT,73
2013-06-01,LG,178
2013-06-02,CP,292
2013-06-02,FT,53
2013-06-02,LG,142
2013-06-03,CP,446
2013-06-03,FT,72
2013-06-03,LG,189
2013-06-04,CP,392
2013-06-04,FT,62
2013-06-04,LG,159
2013-06-05,CP,362
2013-06-05,FT,70
2013-06-05,LG,167
2013-06-06,CP,394
2013-06-06,FT,51
2013-06-06,LG,160
2013-06-07,CP,479
2013-06-07,FT,83
2013-06-07,LG,229
2013-06-08,CP,341
2013-06-08,FT,67
2013-06-08,LG,163
2013-06-09,CP,333
2013-06-09,FT,62
2013-06-09,LG,138
2013-06-10,CP,377
2013-06-10,FT,67
2013-06-10,LG,180
2013-06-11,CP,400
2013-06-11,FT,64
2013-06-11,LG,171
2013-06-12,CP,389
2013-06-12,FT,63
2013-06-12,LG,163
2013-06-13,CP,337
2013-06-13,FT,50
2013-06-13,LG,147
2013-06-14,CP,429
2013-06-14,FT,64
2013-06-14,LG,200
2013-06-15,CP,360
2013-06-15,FT,50
2013-06-15,LG,186
2013-06-16,CP,300
2013-06-16,FT,49
2013-06-16,LG,128
2013-06-17,CP,427
2013-06-17,FT,62
2013-06-17,LG,125
2013-06-18,CP,414
2013-06-18,FT,58
2013-06-18,LG,141
2013-06-19,CP,396
2013-06-19,FT,73
2013-06-19,LG,153
2013-06-20,CP,423
2013-06-20,FT,73
2013-06-20,LG,185
2013-06-21,CP,439
2013-06-21,FT,84
2013-06-21,LG,167
2013-06-22,CP,347
2013-06-22,FT,77
2013-06-22,LG,175
2013-06-23,CP,309
2013-06-23,FT,58
2013-06-23,LG,138
2013-06-24,CP,432
2013-06-24,FT,73
2013-06-24,LG,175
2013-06-25,CP,407
2013-06-25,FT,60
2013-06-25,LG,181
2013-06-26,CP,381
2013-06-26,FT,77
2013-06-26,LG,163
2013-06-27,CP,381
2013-06-27,FT,61
2013-06-27,LG,156
2013-06-28,CP,394
2013-06-28,FT,57
2013-06-28,LG,157
2013-06-29,CP,384
2013-06-29,FT,59
2013-06-29,LG,148
2013-06-30,CP,259
2013-06-30,FT,49
2013-06-30,LG,115
2013-07-01,CP,406
2013-07-01,FT,56
2013-07-01,LG,171
2013-07-02,CP,386
2013-07-02,FT,61
2013-07-02,LG,154
2013-07-03,CP,399
2013-07-03,FT,59
2013-07-03,LG,177
2013-07-04,CP,257
2013-07-04,FT,64
2013-07-04,LG,117
2013-07-05,CP,359
2013-07-05,FT,57
2013-07-05,LG,160
2013-07-06,CP,287
2013-07-06,FT,54
2013-07-06,LG,175
2013-07-07,CP,274
2013-07-07,FT,69
2013-07-07,LG,132
2013-07-08,CP,398
2013-07-08,FT,67
2013-07-08,LG,152
2013-07-09,CP,364
2013-07-09,FT,58
2013-07-09,LG,161
2013-07-10,CP,380
2013-07-10,FT,77
2013-07-10,LG,157
2013-07-11,CP,374
2013-07-11,FT,43
2013-07-11,LG,133
2013-07-12,CP,379
2013-07-12,FT,56
2013-07-12,LG,164
2013-07-13,CP,360
2013-07-13,FT,65
2013-07-13,LG,150
2013-07-14,CP,267
2013-07-14,FT,50
2013-07-14,LG,154
2013-07-15,CP,366
2013-07-15,FT,53
2013-07-15,LG,162
2013-07-16,CP,355
2013-07-16,FT,55
2013-07-16,LG,172
2013-07-17,CP,360
2013-07-17,FT,85
2013-07-17,LG,164
2013-07-18,CP,394
2013-07-18,FT,66
2013-07-18,LG,176
2013-07-19,CP,448
2013-07-19,FT,75
2013-07-19,LG,174
2013-07-20,CP,317
2013-07-20,FT,74
2013-07-20,LG,160
2013-07-21,CP,274
2013-07-21,FT,44
2013-07-21,LG,129
2013-07-22,CP,360
2013-07-22,FT,75
2013-07-22,LG,156
2013-07-23,CP,353
