date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd
2013-07-31,,,2919130,,,
2013-07-29,,,2957708,,,
2013-07-27,,,3045696,,,
2013-08-01,,,69359,,,
2013-07-13,,,2873276,,,
2013-07-10,,,211252,,,
2013-07-03,,,216869,,,
2013-06-17,,,298557,,,
2013-06-28,,,2864747,,,
2013-06-20,,,3125203,,,
2013-06-25,,,216802,,,
2013-07-04,,,115172,,,
2013-06-17,,,216725,,,
2013-06-21,,,250904,,,
2013-07-02,,,2913311,,,
2013-06-30,,,128140,,,
2013-05-24,,,250454,,,
2013-05-26,,,2879440,,,
2013-05-22,,,79714,,,
2013-05-14,,,2897304,,,
2013-03-27,,,210503,,,
2013-03-16,,,2976094,,,
2013-04-29,,,250093,,,
2013-05-12,,,235731,,,
2013-05-07,,,223523,,,
2013-04-24,,,2965243,,,
2013-04-21,,,153927,,,
2013-05-01,,,101241,,,
2013-04-30,,,15204,,,
2013-05-02,,,90280,,,
2013-05-08,,,250205,,,
2013-05-05,,,104835,,,
2013-05-04,,,302642,,,
2013-04-15,,,74240,,,
2013-04-13,,,230270,,,
2013-04-02,,,275551,,,
2013-04-03,,,281741,,,
2013-04-15,,,90182,,,
2013-04-01,,,241687,,,
2013-04-04,,,2927362,,,
2013-03-23,,,261342,,,
2013-04-07,,,2848811,,,
2013-04-15,,,177399,,,
2013-04-15,,,261490,,,
2013-04-01,,,3023639,,,
2013-03-23,,,82601,,,
2013-04-11,,,205917,,,
2013-02-28,,,2983351,,,
2013-02-25,,,157473,,,
2013-02-20,,,2912896,,,
2013-02-28,,,3017315,,,
2013-03-09,,,68894,,,
2013-02-26,,,265596,,,
2013-03-01,,,3023604,,,
2013-03-04,,,100979,,,
2017-07-26,,,3721390,,,
2017-07-22,,,3716236,,,
2017-07-08,,,3706975,,,
2017-06-11,,,3689061,,,
2017-05-31,,,3685394,,,
2017-06-08,,,3687337,,,
2017-06-09,,,3689263,,,
2017-06-06,,,3685004,,,
2017-05-18,,,3672567,,,
2017-05-19,,,3675789,,,
2017-05-13,,,3669690,,,
2017-05-06,,,3664095,,,
2017-05-04,,,3663693,,,
2017-05-01,,,3661290,,,
2017-04-06,,,3648424,,,
2017-03-31,,,3642238,,,
2017-03-17,,,3639348,,,
2017-02-09,,,3618203,,,
2017-01-30,,,3608070,,,
2017-02-09,,,3613040,,,
2017-02-07,,,3611720,,,
2017-01-25,,,3607918,,,
2017-01-13,,,3598540,,,
2017-01-21,,,3601810,,,
2016-12-26,,,3587385,,,
2017-01-08,,,3594817,,,
2017-01-01,,,3590059,,,
2017-01-03,,,3591756,,,
2017-01-10,,,3596035,,,
2016-12-12,,,3578691,,,
2016-12-05,,,3573609,,,
2016-11-26,,,3567565,,,
2016-11-17,,,3564556,,,
2016-11-30,,,3570581,,,
2016-11-05,,,3558494,,,
2016-10-20,,,3544523,,,
2013-03-03,,,127368,,,
