date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd,minDistance,wth_stn
2014-06-20,,,354961,,,,0,CP
2014-06-07,,,347954,,,,0,CP
2014-06-16,,,352296,,,,0,CP
2014-06-25,,,357748,,,,0,CP
2014-06-27,,,358792,,,,0,CP
2014-06-05,,,346927,,,,0,CP
2014-06-11,,,350777,,,,0,CP
2014-06-03,,,346598,,,,0,CP
2014-05-16,,,336259,,,,0,CP
2014-05-30,,,344054,,,,0,CP
2014-05-31,,,344875,,,,0,CP
2014-05-20,,,338649,,,,0,CP
2014-05-15,,,336137,,,,0,CP
2014-05-19,,,337952,,,,0,CP
2014-05-27,,,341914,,,,0,CP
2014-05-31,,,345457,,,,0,CP
2014-05-27,,,2934805,,,,0,CP
2014-05-24,,,340856,,,,0,CP
2014-05-08,,,331920,,,,0,CP
2014-05-11,,,334310,,,,0,CP
2014-05-13,,,334464,,,,0,CP
2014-05-16,,,337478,,,,0,CP
2014-06-01,,,2834264,,,,0,CP
2014-05-08,,,2914231,,,,0,CP
2014-05-24,,,340582,,,,0,CP
2014-05-08,,,332586,,,,0,CP
2014-02-28,,,2927821,,,,0,CP
2014-04-28,,,326695,,,,0,CP
2014-04-18,,,322032,,,,0,CP
2014-04-17,,,322177,,,,0,CP
2014-04-25,,,325983,,,,0,CP
2014-04-13,,,319700,,,,0,CP
2014-04-20,,,323500,,,,0,CP
2014-04-11,,,319422,,,,0,CP
2014-04-21,,,323192,,,,0,CP
2014-04-28,,,2841075,,,,0,CP
2014-03-12,,,306542,,,,0,CP
2014-03-11,,,306663,,,,0,CP
2018-07-26,,,3948901,,,,0,CP
2018-07-18,,,3944053,,,,0,CP
2018-07-10,,,3938856,,,,0,CP
2018-07-26,,,3949648,,,,0,CP
2018-07-18,,,3943882,,,,0,CP
2018-06-30,,,3932340,,,,0,CP
2018-06-26,,,3931600,,,,0,CP
2018-06-27,,,3929954,,,,0,CP
2018-06-28,,,3930596,,,,0,CP
2018-06-21,,,3927474,,,,0,CP
2018-06-26,,,3930103,,,,0,CP
2018-06-02,,,3914257,,,,0,CP
2018-05-26,,,3909064,,,,0,CP
2018-06-01,,,3912541,,,,0,CP
2018-05-28,,,3909773,,,,0,CP
2018-03-14,,,4025736,,,,0,CP
2018-05-02,,,3894611,,,,0,CP
2018-04-14,,,3881641,,,,0,CP
2018-03-29,,,3872627,,,,0,CP
2018-04-19,,,3885857,,,,0,CP
2018-04-11,,,3878765,,,,0,CP
2018-03-28,,,3870944,,,,0,CP
2018-03-31,,,3872770,,,,0,CP
2018-03-12,,,3861460,,,,0,CP
2018-03-02,,,4025724,,,,0,CP
2017-12-14,,,3808945,,,,0,CP
2018-02-22,,,3851496,,,,0,CP
2018-02-07,,,3842854,,,,0,CP
2018-02-14,,,3846106,,,,0,CP
2018-02-14,,,3847460,,,,0,CP
2018-02-15,,,3847188,,,,0,CP
2014-03-17,,,3046363,,,,0,CP
2014-03-19,,,308403,,,,0,CP
2014-04-02,,,314109,,,,0,CP
2014-03-11,,,306912,,,,0,CP
2014-03-28,,,312369,,,,0,CP
2014-03-21,,,2889498,,,,0,CP
2014-03-19,,,308552,,,,0,CP
2014-03-19,,,308201,,,,0,CP
2014-03-22,,,309515,,,,0,CP
2014-03-10,,,254984,,,,0,CP
2014-03-28,,,312024,,,,0,CP
2014-03-06,,,37573,,,,0,CP
2014-02-22,,,85051,,,,0,CP
2014-02-28,,,92044,,,,0,CP
2014-02-14,,,292917,,,,0,CP
2014-02-10,,,292858,,,,0,CP
2014-02-12,,,292895,,,,0,CP
2014-02-28,,,245414,,,,0,CP
2014-02-13,,,290531,,,,0,CP
2014-02-06,,,290449,,,,0,CP
2014-02-06,,,88353,,,,0,CP
2014-03-01,,,279303,,,,0,CP
2014-02-14,,,267934,,,,0,CP
2014-02-02,,,227417,,,,0,CP
